unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1675306800,2023-02-02 03:00:00,BTC/USDT,23905,23936,23874,23909,0.77956837,18638.70015833
1675303200,2023-02-02 02:00:00,BTC/USDT,23975,23985,23893,23893,0.66477704,15883.517816720001
1675299600,2023-02-02 01:00:00,BTC/USDT,24172,24172,23966,23969,6.22568954,149223.55258426
1675296000,2023-02-02 00:00:00,BTC/USDT,23745,24244,23703,24203,14.67380571,355150.11959913
1675292400,2023-02-01 23:00:00,BTC/USDT,23736,23777,23712,23721,6.50874697,154393.98687537
1675288800,2023-02-01 22:00:00,BTC/USDT,23728,23800,23669,23669,0.81909366,19387.12783854
1675285200,2023-02-01 21:00:00,BTC/USDT,23594,23778,23586,23681,1.67946487,39771.407586470006
1675281600,2023-02-01 20:00:00,BTC/USDT,23385,23624,23364,23540,1.93540532,45559.4412328
1675278000,2023-02-01 19:00:00,BTC/USDT,23022,23475,22779,23373,6.79090497,158723.82186380998
1675274400,2023-02-01 18:00:00,BTC/USDT,22985,23065,22968,23064,0.30565874,7049.713179359999
1675270800,2023-02-01 17:00:00,BTC/USDT,22974,23017,22957,22984,0.41241717,9478.99623528
1675267200,2023-02-01 16:00:00,BTC/USDT,22960,23033,22926,23002,1.09762427,25247.553458540002
1675263600,2023-02-01 15:00:00,BTC/USDT,23107,23107,22969,22995,6.67925265,153589.41468674998
1675260000,2023-02-01 14:00:00,BTC/USDT,23097,23137,23051,23131,1.05031034,24294.72847454
1675256400,2023-02-01 13:00:00,BTC/USDT,23023,23139,23020,23086,3.29168572,75991.85653192
1675252800,2023-02-01 12:00:00,BTC/USDT,23071,23094,23071,23086,0.36943067,8528.67644762
1675249200,2023-02-01 11:00:00,BTC/USDT,23029,23095,23022,23077,5.13849484,118581.04542267999
1675245600,2023-02-01 10:00:00,BTC/USDT,22984,23007,22952,23001,1.12067152,25776.56563152
1675242000,2023-02-01 09:00:00,BTC/USDT,22966,22998,22934,22979,0.07210136,1656.81715144
